,iter,rate,num,not-rand,rand
0,0.0,0.01,20.0,0.025035479123317772,0.024075227620333865
0,0.0,0.01,40.0,0.02215181549595257,0.0281495994750011
0,0.0,0.01,60.0,0.03315846501336619,0.025275390482479714
0,0.0,0.01,80.0,0.026234429852791334,0.025515241235008042
0,0.0,0.01,200.0,0.024315381406030262,0.03482214740939369
0,0.0,0.01,400.0,0.025035479123317772,0.02958343121304662
0,0.0,0.01,800.0,0.025515241235008042,0.025515241235008042
0,0.0,0.01,2000.0,0.025275390482479714,0.029105729726899236
0,0.0,0.01,4000.0,0.030060890272659548,0.025515241235008042
0,0.0,0.01,6000.0,0.029105729726899236,0.025515241235008042
0,0.0,0.01,8000.0,0.02191111625055364,0.025515241235008042
0,0.0,0.0001,20.0,0.026713585898145462,0.024075227620333865
0,0.0,0.0001,40.0,0.03149181289229159,0.02599476092016385
0,0.0,0.0001,60.0,0.025515241235008042,0.02575503138090275
0,0.0,0.0001,80.0,0.01853496311843918,0.029105729726899236
0,0.0,0.0001,200.0,0.0216703563985211,0.03077662431232683
0,0.0,0.0001,400.0,0.015389327317276455,0.025515241235008042
0,0.0,0.0001,800.0,0.01490447424836259,0.023835013228003854
0,0.0,0.0001,2000.0,0.041682909244475284,0.02719249951696513
0,0.0,0.0001,4000.0,0.06265038020965531,0.029105729726899236
0,0.0,0.0001,6000.0,0.11205439275668304,0.025275390482479714
0,0.0,0.0001,8000.0,0.09429067935430177,0.020706710924054798
0,0.0,1e-06,20.0,0.21939586216693927,0.18677809923536245
0,0.0,1e-06,40.0,0.30786715316823604,0.14348450809595534
0,0.0,1e-06,60.0,0.13868722031553754,0.08177710649870387
0,0.0,1e-06,80.0,0.10398943771832024,0.09517723319081077
0,0.0,1e-06,200.0,0.2661406980575089,0.06770109462853104
0,0.0,1e-06,400.0,0.10857702654643281,0.044976758568141616
0,0.0,1e-06,800.0,0.13638153184963445,0.02022452454701996
0,0.0,1e-06,2000.0,0.07431403593876403,0.028627785814217394
0,0.0,1e-06,4000.0,0.16879577770553467,0.019259424513346914
0,0.0,1e-06,6000.0,0.09495568564163394,0.02575503138090275
0,0.0,1e-06,8000.0,0.12878436911282312,0.02719249951696513
0,1.0,0.01,20.0,0.025035479123317772,0.02311400641121213
0,1.0,0.01,40.0,0.019742095743450667,0.025035479123317772
0,1.0,0.01,60.0,0.02575503138090275,0.025035479123317772
0,1.0,0.01,80.0,0.025515241235008042,0.025275390482479714
0,1.0,0.01,200.0,0.024795507157522215,0.025515241235008042
0,1.0,0.01,400.0,0.026474038178785207,0.026953073010872103
0,1.0,0.01,800.0,0.026953073010872103,0.03077662431232683
0,1.0,0.01,2000.0,0.018051685821999286,0.026953073010872103
0,1.0,0.01,4000.0,0.024555474585093048,0.020706710924054798
0,1.0,0.01,6000.0,0.030060890272659548,0.024315381406030262
0,1.0,0.01,8000.0,0.03529693977712759,0.028388722947926052
0,1.0,0.0001,20.0,0.019017997988344616,0.01853496311843918
0,1.0,0.0001,40.0,0.026713585898145462,0.030060890272659548
0,1.0,0.0001,60.0,0.02575503138090275,0.028627785814217394
0,1.0,0.0001,80.0,0.022633032166849577,0.03029952889251559
0,1.0,0.0001,200.0,0.017568166099024937,0.03196830224576669
0,1.0,0.0001,400.0,0.017568166099024937,0.021188654874555176
0,1.0,0.0001,800.0,0.028866788073875122,0.017568166099024937
0,1.0,0.0001,2000.0,0.02767117070925034,0.030538106905738018
0,1.0,0.0001,4000.0,0.11616361342567845,0.021188654874555176
0,1.0,0.0001,6000.0,0.11681043772292635,0.023354402623442985
0,1.0,0.0001,8000.0,0.15441706600377555,0.02022452454701996
0,1.0,1e-06,20.0,0.1285722155918565,0.1865832186049759
0,1.0,1e-06,40.0,0.12175130261837627,0.1540076075870778
0,1.0,1e-06,60.0,0.1511346107272287,0.09140268235263316
0,1.0,1e-06,80.0,0.12196539555161855,0.09738937531773027
0,1.0,1e-06,200.0,0.10398943771832024,0.04403687089405209
0,1.0,1e-06,400.0,0.2865520425526447,0.033871835394322515
0,1.0,1e-06,800.0,0.1393147717032961,0.032206456012553814
0,1.0,1e-06,2000.0,0.08850444282988372,0.029105729726899236
0,1.0,1e-06,4000.0,0.2317967066840147,0.025515241235008042
0,1.0,1e-06,6000.0,0.05872746433239005,0.02958343121304662
0,1.0,1e-06,8000.0,0.10464644393001533,0.03695680395523739
0,2.0,0.01,20.0,0.03029952889251559,0.02239245413471788
0,2.0,0.01,40.0,0.01998334044855212,0.026713585898145462
0,2.0,0.01,60.0,0.026234429852791334,0.028388722947926052
0,2.0,0.01,80.0,0.02719249951696513,0.025515241235008042
0,2.0,0.01,200.0,0.025035479123317772,0.02575503138090275
0,2.0,0.01,400.0,0.022633032166849577,0.026953073010872103
0,2.0,0.01,800.0,0.025035479123317772,0.03101508111228203
0,2.0,0.01,2000.0,0.024555474585093048,0.02575503138090275
0,2.0,0.01,4000.0,0.0216703563985211,0.025275390482479714
0,2.0,0.01,6000.0,0.025275390482479714,0.020706710924054798
0,2.0,0.01,8000.0,0.018051685821999286,0.025035479123317772
0,2.0,0.0001,20.0,0.023354402623442985,0.01998334044855212
0,2.0,0.0001,40.0,0.01853496311843918,0.03101508111228203
0,2.0,0.0001,60.0,0.02239245413471788,0.021188654874555176
0,2.0,0.0001,80.0,0.017568166099024937,0.02599476092016385
0,2.0,0.0001,200.0,0.017568166099024937,0.024795507157522215
