,iter,rate,num,not-rand,rand
0,2.0,0.0001,400.0,0.017568166099024937,0.03029952889251559
0,2.0,0.0001,800.0,0.016116152370895143,0.02215181549595257
0,2.0,0.0001,2000.0,0.01998334044855212,0.026713585898145462
0,2.0,0.0001,4000.0,0.09340315581165495,0.025515241235008042
0,2.0,0.0001,6000.0,0.0984931736324295,0.029105729726899236
0,2.0,0.0001,8000.0,0.13847791530635079,0.023835013228003854
0,2.0,1e-06,20.0,0.24882668587654524,0.16779319246897123
0,2.0,1e-06,40.0,0.16979684777625775,0.12153714907850038
0,2.0,1e-06,60.0,0.1262345268234051,0.11292131004390102
0,2.0,1e-06,80.0,0.1540076075870778,0.09606281732118195
0,2.0,1e-06,200.0,0.21327680431402868,0.046384771880267475
0,2.0,1e-06,400.0,0.18129853227703244,0.03173008787234594
0,2.0,1e-06,800.0,0.13554128148120673,0.032920553673113515
0,2.0,1e-06,2000.0,0.08177710649870387,0.03885015518934603
0,2.0,1e-06,4000.0,0.06126782168364743,0.02191111625055364
0,2.0,1e-06,6000.0,0.08065058069639931,0.024075227620333865
0,2.0,1e-06,8000.0,0.06792997558037518,0.02287354959234766
0,3.0,0.01,20.0,0.025515241235008042,0.026713585898145462
0,3.0,0.01,40.0,0.025275390482479714,0.024795507157522215
0,3.0,0.01,60.0,0.02311400641121213,0.025035479123317772
0,3.0,0.01,80.0,0.02958343121304662,0.020947713202621794
0,3.0,0.01,200.0,0.024555474585093048,0.020706710924054798
0,3.0,0.01,400.0,0.023835013228003854,0.029105729726899236
0,3.0,0.01,800.0,0.02239245413471788,0.023835013228003854
0,3.0,0.01,2000.0,0.026713585898145462,0.028866788073875122
0,3.0,0.01,4000.0,0.022633032166849577,0.023594738229040225
0,3.0,0.01,6000.0,0.01853496311843918,0.0216703563985211
0,3.0,0.01,8000.0,0.03505957389657745,0.029105729726899236
0,3.0,0.0001,20.0,0.025515241235008042,0.02767117070925034
0,3.0,0.0001,40.0,0.019259424513346914,0.02239245413471788
0,3.0,0.0001,60.0,0.024795507157522215,0.033871835394322515
0,3.0,0.0001,80.0,0.0281495994750011,0.027910415395442527
0,3.0,0.0001,200.0,0.01998334044855212,0.022633032166849577
0,3.0,0.0001,400.0,0.016842431964811305,0.025275390482479714
0,3.0,0.0001,800.0,0.01780995626382892,0.023354402623442985
0,3.0,0.0001,2000.0,0.0216703563985211,0.02191111625055364
0,3.0,0.0001,4000.0,0.0724948672241992,0.03196830224576669
0,3.0,0.0001,6000.0,0.12920849433485554,0.037193684982718626
0,3.0,0.0001,8000.0,0.0907347669468875,0.024315381406030262
0,3.0,1e-06,20.0,0.40698384784728875,0.3234105728514767
0,3.0,1e-06,40.0,0.30786715316823604,0.13512079265719118
0,3.0,1e-06,60.0,0.10289321523282281,0.09184765625662886
0,3.0,1e-06,80.0,0.0729500230426421,0.08693960985328103
0,3.0,1e-06,200.0,0.06792997558037518,0.06747215307005326
0,3.0,1e-06,400.0,0.25108988909228475,0.03529693977712759
0,3.0,1e-06,800.0,0.10552160371940486,0.016600399373472866
0,3.0,1e-06,2000.0,0.08469898260856284,0.024315381406030262
0,3.0,1e-06,4000.0,0.0724948672241992,0.030538106905738018
0,3.0,1e-06,6000.0,0.06609723097988078,0.031253477305603614
0,3.0,1e-06,8000.0,0.09805183612645064,0.02767117070925034
0,4.0,0.01,20.0,0.025275390482479714,0.0216703563985211
0,4.0,0.01,40.0,0.02575503138090275,0.025515241235008042
0,4.0,0.01,60.0,0.024315381406030262,0.025515241235008042
0,4.0,0.01,80.0,0.024315381406030262,0.023594738229040225
0,4.0,0.01,200.0,0.024315381406030262,0.019017997988344616
0,4.0,0.01,400.0,0.02215181549595257,0.025515241235008042
0,4.0,0.01,800.0,0.023354402623442985,0.0281495994750011
0,4.0,0.01,2000.0,0.02287354959234766,0.02215181549595257
0,4.0,0.01,4000.0,0.01853496311843918,0.024795507157522215
0,4.0,0.01,6000.0,0.04073962759890336,0.024795507157522215
0,4.0,0.01,8000.0,0.018051685821999286,0.027431865416424544
0,4.0,0.0001,20.0,0.020947713202621794,0.03315846501336619
0,4.0,0.0001,40.0,0.027910415395442527,0.033871835394322515
0,4.0,0.0001,60.0,0.02719249951696513,0.03339631574698525
0,4.0,0.0001,80.0,0.023354402623442985,0.019500790431715598
0,4.0,0.0001,200.0,0.017568166099024937,0.019742095743450667
0,4.0,0.0001,400.0,0.017568166099024937,0.03101508111228203
0,4.0,0.0001,800.0,0.0127196354098863,0.027431865416424544
0,4.0,0.0001,2000.0,0.020465648038854187,0.027910415395442527
0,4.0,0.0001,4000.0,0.0693019885521342,0.03505957389657745
0,4.0,0.0001,6000.0,0.11357086163966157,0.026234429852791334
0,4.0,0.0001,8000.0,0.1701968515581117,0.02311400641121213
0,4.0,1e-06,20.0,0.3893346809824384,0.2270882985317922
0,4.0,1e-06,40.0,0.11573209419434512,0.1221794278782272
0,4.0,1e-06,60.0,0.10748716775746486,0.10091619654100972
0,4.0,1e-06,80.0,0.10245430199218854,0.13847791530635079
0,4.0,1e-06,200.0,0.2310750028909364,0.05222800894359971
0,4.0,1e-06,400.0,0.38059811353367945,0.04966165134652182
0,4.0,1e-06,800.0,0.07067181968508308,0.03029952889251559
0,4.0,1e-06,2000.0,0.16939660156786937,0.024555474585093048
0,4.0,1e-06,4000.0,0.14056823809970567,0.028627785814217394
0,4.0,1e-06,6000.0,0.0738596073999245,0.03553424505104412
0,4.0,1e-06,8000.0,0.18716767867623477,0.031253477305603614
